"","Limit_Outdoor_Active","Limit_Exercise_Home","Limit_Exercise_Gym","Limit_People","Limit_Groups","Limit_Travel","Health_General","COVID_Worry","COVID_Too_Much_Time","COVID_Lot_Time","COVID_Afraid","COVID_Irritable","COVID_Guilty","COVID_Sad","COVID_Preoccupied","COVID_Stressed","Hrs_Screen","Hrs_Outdoor","Hrs_Exercise","Educ_Mom","Educ_Dad","Educ_Self","Income_Relative","Class_Self","Class_Mom","Class_Dad","Park_Use","Infected_Any","Female","BMI","Educ_College_Grad","ResponseId","Age","Source","GIS_ZIP","Ethnoracial_Group","COVID_F2_LostTime","COVID_F1_BadMoods","Type","Classification","Classification_High","Ethnoracial_Group_f","NHWhite_f","Ethnoracial_Group_White1_Asian2","Age_3Groups","Age_18to25","Source_NCSU","Class_Self_group","Class_Mom_group","Class_Dad_group","Income_Relative_group","Educ_Mom_group","Educ_Dad_group","Health_General_group","BMI_group","Hrs_Outdoor_group","Hrs_Screen_group","Hrs_Exercise_group"
"1",2,2,5,5,5,5,3,6,2,7,70.85,71.13,40.42,71.41,70.85,71.27,7.66611705602051,1.41815653828647,0.977603583338902,4,5,5,4,3,4,4,2.82402769315466,1,1,21.9480438960878,1,"R_3O2IXpt8nCMfc7A","25 to 32","Clemson",NA,"NHWhite",0.520082685497915,0.49324659530124,"3","High",1,"NHWhite","1","1","25 to 32","0","0",2,3,3,3,1,2,2,2,2,1,2
"2",1,1,3,3,3,3,4,1,2,2,0,80.85,0,63.1,0,70.56,7.64466721468429,1.5760268852566,0.943206211789569,6,6,5,2,1,1,1,2.83549002583772,0,1,30.6664626185083,1,"R_2ePxcy8sR8W3zt2","18 to 24","Clemson",NA,"NHWhite",-1.43560722826637,-0.558000703868595,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",1,1,1,1,2,5,2,4,2,1,2
"3",3,3,5,5,4,5,2,7,7,7,83.1,57.18,100,100,85.92,100,7.83114681233198,1.21698802775057,0.854060496521434,6,7,5,2,2,2,4,2.08562175464861,0,1,20.4680444390474,1,"R_1gATvPSvmCpZVir","18 to 24","Clemson",NA,"NHWhite",1.68923174058806,1.02779309248579,"3","High",1,"NHWhite","1","1","18 to 24","1","0",1,1,3,1,2,5,1,2,2,1,2
"4",4,2,5,3,5,2,5,2,5,6,37.82,68.77,57.88,87.97,73.35,59.03,7.47512059299668,1.31988526496528,0.977603583338902,6,5,2,4,4,4,4,2.08779810455112,0,1,20.4680444390474,0,"R_3Jk3uvJyViEJIS4","18 to 24","Clemson",NA,"NHWhite",0.109305809859774,0.282768901005263,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,2
"5",3,1,5,4,5,3,3,6,7,6,45.56,85.67,15.19,76.5,89.97,98.85,7.59294435206691,1.51855139911045,1.08087392517809,5,5,2,4,4,4,4,2.14164696794001,0,0,20.9983276499886,0,"R_1qaGlIpYGIezYnP","18 to 24","Clemson",NA,"NHWhite",1.2980937578352,0.80196388138896,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,3
"6",4,2,4,2,3,3,4,5,5,5,58.39,78.71,24.84,82.58,67.1,72.58,7.716967048719,1.31988526496528,0.977603583338902,5,5,3,4,4,4,4,2.16807169602233,0,1,26.631401747652,0,"R_20OlmXgiqzCchow","18 to 24","Clemson",NA,"NHWhite",0.519421522595107,0.520318736642084,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,3,2,1,2
"7",4,5,5,4,5,4,3,5,4,5,59.6,49.57,58.17,58.74,59.31,47.56,8.82901931597436,0.669347886723558,0.508897737141918,5,5,3,3,3,3,3,1.99906566002126,0,0,18.2457354534086,0,"R_bCMgDbnYScJGk6J","18 to 24","Clemson",NA,NA,0.325654396351488,-0.103558991782108,"1","Med",0,NA,NA,NA,"18 to 24","1","0",2,2,2,2,2,2,2,2,1,2,2
"8",3,2,5,5,5,4,4,5,5,5,59.03,65.04,21.49,73.64,89.11,68.48,7.55395558002006,1.3536325659625,1.08087392517809,6,5,3,4,4,4,4,2.14164696794001,0,1,19.4927764776765,0,"R_w4tq6WXdsnsbb0Z","18 to 24","Clemson",NA,"NHWhite",0.519421522595107,0.495906305124079,"3","High",1,"NHWhite","1","1","18 to 24","1","0",3,3,3,3,2,2,2,2,2,1,3
"9",4,4,5,4,5,4,4,2,2,5,29.35,100,26.77,31.61,68.71,22.9,8.77699800722236,0.669347886723558,0.508897737141918,5,5,3,4,3,3,3,1.9786113055404,0,1,27.457132784088,0,"R_27NnTuuUh6bWGXH","18 to 24","Clemson",NA,"NHWhite",-0.662820127751891,-0.285064097376328,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",2,2,2,3,2,2,2,3,1,2,2
"10",2,2,2,3,5,4,4,5,3,5,61.27,29.58,50.14,69.44,56.62,75.35,7.49906210098466,1.39646870759864,0.977603583338902,3,5,3,4,4,5,3,2.81301296161754,0,0,20.7503005283788,0,"R_6RPNB5lkyyYzhOF","18 to 24","Clemson",NA,"NHWhite",0.131887270107869,0.0367739116752339,"1","Med",0,"NHWhite","1","1","18 to 24","1","0",3,3,2,3,1,2,2,2,2,1,2
